,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1743,Webster County,Nebraska,3571,2.39822492994331,796,22.3,11.0
1744,Wheeler County,Nebraska,822,0.551782333629999,194,23.6,9.2
1745,York County,Nebraska,13799,9.30608276349161,2663,19.3,10.1
1746,Churchill County,Nevada,24010,1.88016907180365,4446,18.5,12.8
1747,Clark County,Nevada,2141574,104.777362384789,301845,14.1,14.1
1748,Douglas County,Nevada,47828,26.0193516637678,12611,26.4,9.3
1749,Elko County,Nevada,52252,1.17504652080958,5477,10.5,11.9
1750,Esmeralda County,Nevada,981,0.105744821409066,269,27.4,7.2
1751,Eureka County,Nevada,1830,0.169210084482199,283,15.5,7.7
1752,Humboldt County,Nevada,16904,0.676985020197229,2083,12.3,11.5
1753,Lander County,Nevada,5746,0.40409748685421,822,14.3,14.9
1754,Lincoln County,Nevada,5174,0.187869851263538,1225,23.7,6.8
1755,Lyon County,Nevada,53155,10.2553006223409,10937,20.6,11.6
1756,Mineral County,Nevada,4448,0.457621869471935,1099,24.7,23.6
1757,Nye County,Nevada,43705,0.928097867904669,12644,28.9,16.2
1758,Pershing County,Nevada,6611,0.422841717709699,1061,16.0,15.1
1759,Storey County,Nevada,3941,5.76438580987713,1176,29.8,7.9
1760,Washoe County,Nevada,450486,27.6022977726726,69819,15.5,12.2
1761,White Pine County,Nevada,9737,0.423622182525409,1587,16.3,10.9
1762,Carson City,Nevada,54467,145.372151346259,10667,19.6,13.7
1763,Belknap County,New Hampshire,60640,58.2644725063166,12642,20.8,8.7
1764,Carroll County,New Hampshire,47840,19.8217429003634,12516,26.2,9.6
1765,Cheshire County,New Hampshire,76263,41.6654089727979,14195,18.6,9.9
1766,Coos County,New Hampshire,32038,6.89299389344942,7204,22.5,12.8
1767,Grafton County,New Hampshire,89811,20.2951261468896,17342,19.3,9.9
1768,Hillsborough County,New Hampshire,411087,181.077080499526,60825,14.8,8.1
1769,Merrimack County,New Hampshire,149452,61.855704143937,25707,17.2,7.2
1770,Rockingham County,New Hampshire,305129,169.417981016389,50759,16.6,4.7
1771,Strafford County,New Hampshire,128237,134.708387712718,18162,14.2,10.0
1772,Sullivan County,New Hampshire,43125,30.9754478164126,8632,20.0,10.8
1773,Atlantic County,New Jersey,268539,186.644512578803,45459,16.9,14.3
1774,Bergen County,New Jersey,929999,1542.51463078774,155306,16.7,7.0
1775,Burlington County,New Jersey,446367,215.610717844953,72612,16.3,6.5
1776,Camden County,New Jersey,507367,885.001303194233,75995,15.0,12.6
1777,Cape May County,New Jersey,93705,143.851131841752,23572,25.2,11.1
1778,Cumberland County,New Jersey,153400,122.533902077342,22325,14.6,17.6
1779,Essex County,New Jersey,793555,2430.06238473315,104288,13.1,16.4
1780,Gloucester County,New Jersey,290852,348.783328002467,43423,14.9,7.4
1781,Hudson County,New Jersey,668631,5589.05694996684,76628,11.5,16.3
1782,Hunterdon County,New Jersey,125051,112.855259073167,21457,17.2,4.8
1783,Mercer County,New Jersey,368762,634.394958878231,53598,14.5,11.4
1784,Middlesex County,New Jersey,826698,1032.24836604565,117814,14.3,8.5
1785,Monmouth County,New Jersey,623387,514.106567301996,103679,16.6,7.4
1786,Morris County,New Jersey,494383,414.453485239917,80497,16.3,4.6
1787,Ocean County,New Jersey,591939,363.721800368883,131798,22.3,10.7
1788,Passaic County,New Jersey,504041,1046.23333809151,70281,13.9,16.7
1789,Salem County,New Jersey,63336,73.6916046347258,11182,17.7,13.0
1790,Somerset County,New Jersey,330176,422.319081502863,48929,14.8,4.7
1791,Sussex County,New Jersey,142298,105.91748959082,22889,16.1,5.1
1792,Union County,New Jersey,553066,2077.9430593196,76895,13.9,9.8
1793,Warren County,New Jersey,106293,115.107623911917,18236,17.2,7.8
1794,Bernalillo County,New Mexico,677692,225.323559582085,103210,15.2,17.4
1795,Catron County,New Mexico,3539,0.197339545334343,1364,38.5,22.9
1796,Chaves County,New Mexico,65459,4.16568365806523,10048,15.4,20.6
1797,Cibola County,New Mexico,26978,2.29433925414903,4088,15.2,26.5
