,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
542,141,18,St. Joseph,Indiana,9.666666666666666,9.666666666666666
543,143,18,Scott,Indiana,2.0,2.0
544,145,18,Shelby,Indiana,4.0,4.0
545,149,18,Starke,Indiana,2.0,2.0
546,151,18,Steuben,Indiana,2.0,2.0
547,153,18,Sullivan,Indiana,2.0,2.0
548,157,18,Tippecanoe,Indiana,11.5,11.5
549,159,18,Tipton,Indiana,2.0,2.0
550,163,18,Vanderburgh,Indiana,14.0,14.0
551,165,18,Vermillion,Indiana,2.0,2.0
552,167,18,Vigo,Indiana,6.0,6.0
553,169,18,Wabash,Indiana,2.0,2.0
554,171,18,Warren,Indiana,2.0,2.0
